Time,ratioA,ratioB,ratioC,ratioD,ratioE,regression（200s/1s）,classification
200,0.72,0.24,0.02,0.01,0.01,0.777777778,1
50,0.72,0.24,0.02,0.01,0.01,0.729437229,1
100,0.72,0.24,0.02,0.01,0.01,0.753246753,1
150,0.72,0.24,0.02,0.01,0.01,0.80952381,1
200,0.6,0.32,0.1,0.1,0.2,0.523108218,0
150,0.6,0.32,0.1,0.1,0.2,0.532465419,0
100,0.6,0.32,0.1,0.1,0.2,0.503824247,0
50,0.6,0.32,0.1,0.1,0.2,0.444344996,0
200,0.72,0.24,0.02,0.01,0.01,0.08815754,0
50,0.72,0.24,0.02,0.01,0.01,0.191232803,0
100,0.72,0.24,0.02,0.01,0.01,0.132263286,0
150,0.72,0.24,0.02,0.01,0.01,0.110547613,0
200,0.72,0.24,0.02,0.01,0.01,0.815951493,1
50,0.72,0.24,0.02,0.01,0.01,0.935634328,1
100,0.72,0.24,0.02,0.01,0.01,0.880503731,1
150,0.72,0.24,0.02,0.01,0.01,0.851399254,1
50,0.6,0.32,0.1,0.1,0.2,0.205454545,0
100,0.6,0.32,0.1,0.1,0.2,0.077527273,0
200,0.72,0.24,0.02,0.01,0.01,0.411947086,1
50,0.72,0.24,0.02,0.01,0.01,0.630425796,1
100,0.72,0.24,0.02,0.01,0.01,0.490698636,1
150,0.72,0.24,0.02,0.01,0.01,0.445638694,1
200,0.72,0.24,0.02,0.01,0.01,0.177251471,0
50,0.72,0.24,0.02,0.01,0.01,0.45210439,1
100,0.72,0.24,0.02,0.01,0.01,0.378639312,1
150,0.72,0.24,0.02,0.01,0.01,0.246945241,0
200,0.72,0.24,0.02,0.01,0.01,0.481130835,0
50,0.72,0.24,0.02,0.01,0.01,0.917159763,0
100,0.72,0.24,0.02,0.01,0.01,0.648191979,0
150,0.72,0.24,0.02,0.01,0.01,0.518408941,0
50,0.6,0.32,0.1,0.1,0.2,0.916571429,1
100,0.6,0.32,0.1,0.1,0.2,0.897714286,1
50,0.6,0.32,0.1,0.1,0.2,0.383171706,1
100,0.6,0.32,0.1,0.1,0.2,1.385054193,0
150,0.6,0.32,0.1,0.1,0.2,2.714774672,0
200,0.6,0.32,0.1,0.1,0.2,3.634341129,0
