,A nN,A Spe,A Sare,A Mv,A Mare,A ETA_dEpsilon_A,A ETA_dAlpha_B,A FMF,A Bandgap,B nN,B Si,B Mse,B Mp,B Mi,B ETA_dAlpha_B,B ETA_BetaP,B HOMO,B LOMO,B Bandgap,Time (s),Potential (v)
A nN,1.0,0.5496959004977074,0.5500306759809035,0.21019877681608415,0.26762072175917134,0.2611986673995388,0.14100807116614728,0.1460417351077797,-0.6122881597050771,-0.05252268568796373,-0.03461469378090632,-0.06062681118118591,-0.07746395238298133,0.06419575185900388,0.01633141868161464,-0.07173018655554579,-0.1176630391098095,0.0791796826375035,0.11668057255497949,3.592018344796557e-16,-0.32495365632479417
A Spe,0.5496959004977074,1.0,0.9999933824516761,0.7287825966825865,0.8486499028290884,0.8588133225428932,-0.009131504157225582,0.3367619487070604,-0.7806949744161839,-0.06697357217467083,-0.08025959551856267,-0.08693631611722392,-0.08615630515818073,0.07099205286687128,0.02584327880282854,-0.07513262632102502,-0.07678689946351241,0.1025756911768387,0.1271042024715423,3.7948946008415073e-16,-0.2888450303436375
A Sare,0.5500306759809035,0.9999933824516761,1.0,0.7274257921884015,0.8493832212662292,0.8593978257935696,-0.0057663474128115235,0.3344075659234567,-0.7801899953714873,-0.06695890972744607,-0.08017747475102052,-0.08696523366636273,-0.08597815665544682,0.0707262905355397,0.025605785307098408,-0.07488476704541366,-0.07661480408042563,0.10241858108620755,0.1268921981517278,3.6736363255677516e-16,-0.289622511205997
A Mv,0.21019877681608415,0.7287825966825865,0.7274257921884015,1.0,0.8026903950739401,0.817500330579765,-0.31839456607532063,0.8278706783344393,-0.7956902551382118,-0.0090624772235283,-0.029587448796151994,-0.0633785773561194,-0.06891032392778802,0.07730643985619133,-0.0037020368673430144,-0.06544523309925762,-0.05579329377700211,0.08593892409043528,0.10377374100946132,2.810440570859927e-16,-0.08793948841626095
A Mare,0.26762072175917134,0.8486499028290884,0.8493832212662292,0.8026903950739401,1.0,0.9979050328973663,0.20117642243761447,0.3724630481185346,-0.6931501399886566,-0.025698638815071898,-0.03800078267120688,-0.08155641710595411,-0.05895362462762118,0.048538537474247814,-0.013713940739611285,-0.04825933105715901,-0.021633523392621413,0.07478810350311933,0.08174860334141719,2.8680807552544134e-16,-0.23131911438209746
A ETA_dEpsilon_A,0.2611986673995388,0.8588133225428932,0.8593978257935696,0.817500330579765,0.9979050328973663,1.0,0.15006543316923082,0.3820338686288091,-0.6903931427838155,-0.02685064552200982,-0.039061662734051296,-0.08216784323343995,-0.06386536180511437,0.054101454144428685,-0.007524724131030318,-0.05654509589450054,-0.028153941395926474,0.07875387542956533,0.08779206595874448,2.8983982656384917e-16,-0.2303369195288943
A ETA_dAlpha_B,0.14100807116614728,-0.009131504157225582,-0.0057663474128115235,-0.31839456607532063,0.20117642243761447,0.15006543316923082,1.0,-0.5219197889509475,0.018405264166584636,-0.006517979864056054,0.013780500395713017,-0.008579605973180832,0.059899830504050934,-0.08836400215622148,-0.08295721372125149,0.08707891557354426,0.08371105430407987,-0.04664451445386649,-0.07331387292522572,-2.0883524431597006e-16,-0.1467723551096612
A FMF,0.1460417351077797,0.3367619487070604,0.3344075659234567,0.8278706783344393,0.3724630481185346,0.3820338686288091,-0.5219197889509475,1.0,-0.6582996935376337,0.009758003257221036,-0.009750771373134147,-0.03592881550930182,-0.04962746022397328,0.0680203365396543,-0.00955587485408551,-0.03827570426989874,-0.037457816718612244,0.06329197236989198,0.07527178585118936,1.3868402739025434e-16,0.07726901030395349
A Bandgap,-0.6122881597050771,-0.7806949744161839,-0.7801899953714873,-0.7956902551382118,-0.6931501399886566,-0.6903931427838155,0.018405264166584636,-0.6582996935376337,1.0,0.011846451166429437,0.017600191186741467,0.030867296876615328,0.020160205398647733,-0.018899098327437545,0.04896425848709367,0.008718245223641322,0.08634677521723437,-0.052416094773378004,-0.07992984861271356,-1.8368503117039503e-16,0.2111005847402657
B nN,-0.05252268568796373,-0.06697357217467083,-0.06695890972744607,-0.0090624772235283,-0.025698638815071898,-0.02685064552200982,-0.006517979864056054,0.009758003257221036,0.011846451166429437,1.0,0.8161319924651799,0.690262936644442,0.618495451806209,-0.3041412762354752,-0.20031841819025736,0.465143813161479,-0.1931431971276028,-0.7666176476681661,-0.7060364900425778,-1.574798791566265e-16,0.032917389504299954
B Si,-0.03461469378090632,-0.08025959551856267,-0.08017747475102052,-0.029587448796151994,-0.03800078267120688,-0.039061662734051296,0.013780500395713017,-0.009750771373134147,0.017600191186741467,0.8161319924651799,1.0,0.5730615473941199,0.5892587897564314,-0.44832236835068257,-0.42587575998717714,0.32347241879975136,-0.017023446388259113,-0.7236388119292771,-0.7190136724829496,-1.365657705963796e-16,0.025592853498780842
B Mse,-0.06062681118118591,-0.08693631611722392,-0.08696523366636273,-0.0633785773561194,-0.08155641710595411,-0.08216784323343995,-0.008579605973180832,-0.03592881550930182,0.030867296876615328,0.690262936644442,0.5730615473941199,1.0,0.8389524866908891,-0.6111559356067429,-0.08711814786927402,0.6486686195293943,-0.5188211848504467,-0.8847460513522959,-0.7207339590136094,-2.980832733492431e-17,-0.03321265466954244
B Mp,-0.07746395238298133,-0.08615630515818073,-0.08597815665544682,-0.06891032392778802,-0.05895362462762118,-0.06386536180511437,0.059899830504050934,-0.04962746022397328,0.020160205398647733,0.618495451806209,0.5892587897564314,0.8389524866908891,1.0,-0.9098813492243287,-0.5024811359946708,0.8933555280348682,-0.2194363104421227,-0.9282016901377678,-0.8594357651101727,-3.537191318037552e-16,0.043758773871257754
B Mi,0.06419575185900388,0.07099205286687128,0.0707262905355397,0.07730643985619133,0.048538537474247814,0.054101454144428685,-0.08836400215622148,0.0680203365396543,-0.018899098327437545,-0.3041412762354752,-0.44832236835068257,-0.6111559356067429,-0.9098813492243287,1.0,0.5905460235528129,-0.824731176961123,0.024988177507183924,0.7667671611802409,0.7596563490210213,1.6904190238846205e-16,-0.06651950567166676
B ETA_dAlpha_B,0.01633141868161464,0.02584327880282854,0.025605785307098408,-0.0037020368673430144,-0.013713940739611285,-0.007524724131030318,-0.08295721372125149,-0.00955587485408551,0.04896425848709367,-0.20031841819025736,-0.42587575998717714,-0.08711814786927402,-0.5024811359946708,0.5905460235528129,1.0,-0.45314239717114285,-0.11177536288149897,0.30636213860232664,0.3422382452030387,1.1774336566235276e-16,-0.02708716554890997
B ETA_BetaP,-0.07173018655554579,-0.07513262632102502,-0.07488476704541366,-0.06544523309925762,-0.04825933105715901,-0.05654509589450054,0.08707891557354426,-0.03827570426989874,0.008718245223641322,0.465143813161479,0.32347241879975136,0.6486686195293943,0.8933555280348682,-0.824731176961123,-0.45314239717114285,1.0,-0.03596556063008115,-0.7878325399493946,-0.7772540622092231,-2.983010967993122e-16,0.038663051619651716
B HOMO,-0.1176630391098095,-0.07678689946351241,-0.07661480408042563,-0.05579329377700211,-0.021633523392621413,-0.028153941395926474,0.08371105430407987,-0.037457816718612244,0.08634677521723437,-0.1931431971276028,-0.017023446388259113,-0.5188211848504467,-0.2194363104421227,0.024988177507183924,-0.11177536288149897,-0.03596556063008115,1.0,0.16224048380410058,-0.15556432942809428,-2.5867461999656183e-16,0.1828104113030119
B LOMO,0.0791796826375035,0.1025756911768387,0.10241858108620755,0.08593892409043528,0.07478810350311933,0.07875387542956533,-0.04664451445386649,0.06329197236989198,-0.052416094773378004,-0.7666176476681661,-0.7236388119292771,-0.8847460513522959,-0.9282016901377678,0.7667671611802409,0.30636213860232664,-0.7878325399493946,0.16224048380410058,1.0,0.9494994730512327,2.8384019615984346e-16,-0.07951437627296286
B Bandgap,0.11668057255497949,0.1271042024715423,0.1268921981517278,0.10377374100946132,0.08174860334141719,0.08779206595874448,-0.07331387292522572,0.07527178585118936,-0.07992984861271356,-0.7060364900425778,-0.7190136724829496,-0.7207339590136094,-0.8594357651101727,0.7596563490210213,0.3422382452030387,-0.7772540622092231,-0.15556432942809428,0.9494994730512327,1.0,3.290149579970555e-16,-0.13773128873119794
Time (s),3.592018344796557e-16,3.7948946008415073e-16,3.6736363255677516e-16,2.810440570859927e-16,2.8680807552544134e-16,2.8983982656384917e-16,-2.0883524431597006e-16,1.3868402739025434e-16,-1.8368503117039503e-16,-1.574798791566265e-16,-1.365657705963796e-16,-2.980832733492431e-17,-3.537191318037552e-16,1.6904190238846205e-16,1.1774336566235276e-16,-2.983010967993122e-16,-2.5867461999656183e-16,2.8384019615984346e-16,3.290149579970555e-16,1.0,-0.006014523643620521
Potential (v),-0.32495365632479417,-0.2888450303436375,-0.289622511205997,-0.08793948841626095,-0.23131911438209746,-0.2303369195288943,-0.1467723551096612,0.07726901030395349,0.2111005847402657,0.032917389504299954,0.025592853498780842,-0.03321265466954244,0.043758773871257754,-0.06651950567166676,-0.02708716554890997,0.038663051619651716,0.1828104113030119,-0.07951437627296286,-0.13773128873119794,-0.006014523643620521,1.0
