A Ion Radius,X Ion Radius,t,μ,B NumberofProtons,X1 NumberofProtons,B SpecificHeat,X1 SpecificHeat,X2 SpecificHeat,X3 SpecificHeat,X4 SpecificHeat,A1 Density,A2 Density,B Density,B FirstIonization,X4 FirstIonization,B AtomicMass,A2 MeltingPoint,B MeltingPoint,X3 MeltingPoint,Ef (eV)
76.0,133.0,0.794544716,0.398496241,32,9,0.32,0.824,0.824,0.824,0.824,0.534,0.534,5.32,7.8994,17.4228,72.64,453.85,1211.45,53.63,5.720876571
102.0,133.0,0.8933876,0.398496241,32,9,0.32,0.824,0.824,0.824,0.824,0.971,0.971,5.32,7.8994,17.4228,72.64,371.15,1211.45,53.63,3.279886908
138.0,133.0,1.030246977,0.398496241,32,9,0.32,0.824,0.824,0.824,0.824,0.862,0.862,5.32,7.8994,17.4228,72.64,336.5,1211.45,53.63,3.204452244
152.0,133.0,1.083470068,0.398496241,32,9,0.32,0.824,0.824,0.824,0.824,1.53,1.53,5.32,7.8994,17.4228,72.64,312.79,1211.45,53.63,2.136704102
167.0,133.0,1.140494808,0.398496241,32,9,0.32,0.824,0.824,0.824,0.824,1.87,1.87,5.32,7.8994,17.4228,72.64,301.7,1211.45,53.63,0.564953546
76.0,133.0,0.731610482,0.518796992,50,9,0.228,0.824,0.824,0.824,0.824,0.534,0.534,7.29,7.3439,17.4228,118.71,453.85,505.21,53.63,5.044693571
102.0,133.0,0.822624226,0.518796992,50,9,0.228,0.824,0.824,0.824,0.824,0.971,0.971,7.29,7.3439,17.4228,118.71,371.15,505.21,53.63,3.015020908
138.0,133.0,0.948643256,0.518796992,50,9,0.228,0.824,0.824,0.824,0.824,0.862,0.862,7.29,7.3439,17.4228,118.71,336.5,505.21,53.63,2.945976244
152.0,133.0,0.997650657,0.518796992,50,9,0.228,0.824,0.824,0.824,0.824,1.53,1.53,7.29,7.3439,17.4228,118.71,312.79,505.21,53.63,1.872110102
167.0,133.0,1.050158586,0.518796992,50,9,0.228,0.824,0.824,0.824,0.824,1.87,1.87,7.29,7.3439,17.4228,118.71,301.7,505.21,53.63,0.299544546
